EVENT_ID,TIME_STAMP,TYPE_DESCRIPTION,ONSTREET,DIRECTION,LAT,LONG
547,2013-10-02:19:45,Accident-no details,405,1,33.774246,-118.071496
552,2013-10-02:19:58,Accident-property damage,405,0,33.735415,-117.989242
3730,2013-10-02:21:11,Hit and Run-no injuries,405,0,34.201108,-118.473406
455,2013-10-03:04:53,Accident-ambulance rolling,405,0,33.839447,-118.263315
3,2013-10-03:05:37,Accident-ambulance rolling,405,0,33.839447,-118.263315
23,2013-10-03:05:58,Hit and Run-no injuries,405,1,33.64989,-117.754034
582,2013-10-03:06:38,Accident-property damage,405,0,34.055686,-118.451951
24,2013-10-03:06:43,Accident-property damage,405,0,34.055686,-118.451951
750,2013-10-03:07:45,Accident-no details,405,1,33.961586,-118.369524
80,2013-10-03:07:52,Accident-property damage,405,0,33.664792,-117.793465
87,2013-10-03:07:58,Accident-no details,405,0,33.683525,-117.85845
18,2013-10-03:08:00,Accident-no details,405,0,33.683525,-117.85845
883,2013-10-03:08:42,Accident-property damage,405,0,33.802833,-118.12518
115,2013-10-03:08:43,Accident-property damage,405,1,33.774246,-118.071496
116,2013-10-03:08:43,Accident-property damage,405,1,33.668186,-117.819289
116,2013-10-03:08:43,Accident-property damage,405,0,33.669553,-117.822563
61,2013-10-03:08:51,Accident-ambulance rolling,405,0,33.801967,-118.114654
906,2013-10-03:08:51,Accident-ambulance rolling,405,0,33.796983,-118.107798
26,2013-10-03:08:52,Accident-property damage,405,1,33.744518,-118.005137
122,2013-10-03:08:53,Accident-property damage,405,1,33.744518,-118.005137
130,2013-10-03:09:15,Accident-property damage,405,0,33.6518,-117.760842
30,2013-10-03:09:16,Accident-property damage,405,0,33.6518,-117.760842
445,2013-10-03:09:24,Accident-property damage,405,0,33.677204,-117.844141
1163,2013-10-03:10:16,Accident-property damage,405,0,33.884661,-118.352382
1288,2013-10-03:11:00,Accident-no details,405,0,34.012294,-118.418389
105,2013-10-03:11:26,Accident-no details,405,1,34.077264,-118.470191
1590,2013-10-03:12:36,Accident-no details,405,1,34.160073,-118.469604
128,2013-10-03:12:40,Accident-no details,405,1,34.160073,-118.469604
249,2013-10-03:13:03,Accident-property damage,405,0,33.687441,-117.873542
52,2013-10-03:13:30,Accident-no details,405,1,33.774271,-118.078171
260,2013-10-03:13:31,Accident-property damage,405,1,33.774271,-118.078171
262,2013-10-03:13:32,Accident-no details,405,1,33.687296,-117.890487
1769,2013-10-03:13:43,Accident-property damage,405,0,34.235589,-118.472957
316,2013-10-03:14:17,Accident-property damage,405,0,33.700405,-117.946224
